CSB_Category,Month_MM_YY,Sum of Value
Arrests,01-25,$3
Arrests,02-25,$6
Arrests,03-25,$11
Arrests,04-25,$18
Arrests,05-25,$9
Arrests,06-25,$12
Arrests,07-25,$0
Arrests,08-25,$0
Arrests,09-25,$0
Arrests,10-25,$0
Arrests,11-25,$0
Arrests,12-25,$0
Arrests,01-26,$7
Assist Outside Agency,01-25,$1
Assist Outside Agency,02-25,$0
Assist Outside Agency,03-25,$0
Assist Outside Agency,04-25,$0
Assist Outside Agency,05-25,$3
Assist Outside Agency,06-25,$1
Assist Outside Agency,07-25,$0
Assist Outside Agency,08-25,$0
Assist Outside Agency,09-25,$0
Assist Outside Agency,10-25,$0
Assist Outside Agency,11-25,$0
Assist Outside Agency,12-25,$0
Assist Outside Agency,01-26,$1
Burglary Arrests,01-25,$0
Burglary Arrests,02-25,$0
Burglary Arrests,03-25,$0
Burglary Arrests,04-25,$0
Burglary Arrests,05-25,$0
Burglary Arrests,06-25,$0
Burglary Arrests,07-25,$0
Burglary Arrests,08-25,$0
Burglary Arrests,09-25,$0
Burglary Arrests,10-25,$0
Burglary Arrests,11-25,$0
Burglary Arrests,12-25,$0
Burglary Arrests,01-26,$0
BWC Review(s),01-25,$0
BWC Review(s),02-25,$4
BWC Review(s),03-25,$0
BWC Review(s),04-25,$5
BWC Review(s),05-25,$5
BWC Review(s),06-25,$5
BWC Review(s),07-25,$0
BWC Review(s),08-25,$0
BWC Review(s),09-25,$0
BWC Review(s),10-25,$0
BWC Review(s),11-25,$0
BWC Review(s),12-25,$0
BWC Review(s),01-26,$5
Catalytic Converter Arrests,01-25,$0
Catalytic Converter Arrests,02-25,$0
Catalytic Converter Arrests,03-25,$0
Catalytic Converter Arrests,04-25,$0
Catalytic Converter Arrests,05-25,$0
Catalytic Converter Arrests,06-25,$0
Catalytic Converter Arrests,07-25,$0
Catalytic Converter Arrests,08-25,$0
Catalytic Converter Arrests,09-25,$0
Catalytic Converter Arrests,10-25,$0
Catalytic Converter Arrests,11-25,$0
Catalytic Converter Arrests,12-25,$0
Catalytic Converter Arrests,01-26,$0
City Ordinance Citation,01-25,$1
City Ordinance Citation,02-25,$0
City Ordinance Citation,03-25,$0
City Ordinance Citation,04-25,$4
City Ordinance Citation,05-25,$0
City Ordinance Citation,06-25,$0
City Ordinance Citation,07-25,$0
City Ordinance Citation,08-25,$0
City Ordinance Citation,09-25,$0
City Ordinance Citation,10-25,$0
City Ordinance Citation,11-25,$0
City Ordinance Citation,12-25,$0
City Ordinance Citation,01-26,$1
City Ordinance Warning,01-25,$0
City Ordinance Warning,02-25,$0
City Ordinance Warning,03-25,$0
City Ordinance Warning,04-25,$0
City Ordinance Warning,05-25,$0
City Ordinance Warning,06-25,$1
City Ordinance Warning,07-25,$0
City Ordinance Warning,08-25,$0
City Ordinance Warning,09-25,$0
City Ordinance Warning,10-25,$0
City Ordinance Warning,11-25,$0
City Ordinance Warning,12-25,$0
City Ordinance Warning,01-26,$0
Community Engagement,01-25,$0
Community Engagement,02-25,$0
Community Engagement,03-25,$0
Community Engagement,04-25,$0
Community Engagement,05-25,$2
Community Engagement,06-25,$2
Community Engagement,07-25,$0
Community Engagement,08-25,$0
Community Engagement,09-25,$0
Community Engagement,10-25,$0
Community Engagement,11-25,$0
Community Engagement,12-25,$0
Community Engagement,01-26,$0
Criminal Intelligence Reports,01-25,$1
Criminal Intelligence Reports,02-25,$1
Criminal Intelligence Reports,03-25,$3
Criminal Intelligence Reports,04-25,$1
Criminal Intelligence Reports,05-25,$2
Criminal Intelligence Reports,06-25,$0
Criminal Intelligence Reports,07-25,$0
Criminal Intelligence Reports,08-25,$0
Criminal Intelligence Reports,09-25,$0
Criminal Intelligence Reports,10-25,$0
Criminal Intelligence Reports,11-25,$0
Criminal Intelligence Reports,12-25,$0
Criminal Intelligence Reports,01-26,$0
Criminal Mischief Arrests,01-25,$0
Criminal Mischief Arrests,02-25,$0
Criminal Mischief Arrests,03-25,$0
Criminal Mischief Arrests,04-25,$0
Criminal Mischief Arrests,05-25,$0
Criminal Mischief Arrests,06-25,$0
Criminal Mischief Arrests,07-25,$0
Criminal Mischief Arrests,08-25,$0
Criminal Mischief Arrests,09-25,$0
Criminal Mischief Arrests,10-25,$0
Criminal Mischief Arrests,11-25,$0
Criminal Mischief Arrests,12-25,$0
Criminal Mischief Arrests,01-26,$0
Criminal Trespass Arrests,01-25,$0
Criminal Trespass Arrests,02-25,$0
Criminal Trespass Arrests,03-25,$0
Criminal Trespass Arrests,04-25,$0
Criminal Trespass Arrests,05-25,$0
Criminal Trespass Arrests,06-25,$0
Criminal Trespass Arrests,07-25,$0
Criminal Trespass Arrests,08-25,$0
Criminal Trespass Arrests,09-25,$0
Criminal Trespass Arrests,10-25,$0
Criminal Trespass Arrests,11-25,$0
Criminal Trespass Arrests,12-25,$0
Criminal Trespass Arrests,01-26,$0
Currency Seized,01-25,$1
Currency Seized,02-25,$0
Currency Seized,03-25,$5020
Currency Seized,04-25,$0
Currency Seized,05-25,$399999
Currency Seized,06-25,$136000
Currency Seized,07-25,$0
Currency Seized,08-25,$0
Currency Seized,09-25,$0
Currency Seized,10-25,$0
Currency Seized,11-25,$0
Currency Seized,12-25,$0
Currency Seized,01-26,$0
Drug-Related Arrests,01-25,$0
Drug-Related Arrests,02-25,$0
Drug-Related Arrests,03-25,$4
Drug-Related Arrests,04-25,$9
Drug-Related Arrests,05-25,$2
Drug-Related Arrests,06-25,$3
Drug-Related Arrests,07-25,$0
Drug-Related Arrests,08-25,$0
Drug-Related Arrests,09-25,$0
Drug-Related Arrests,10-25,$0
Drug-Related Arrests,11-25,$0
Drug-Related Arrests,12-25,$0
Drug-Related Arrests,01-26,$1
Fraud Arrests,01-25,$0
Fraud Arrests,02-25,$0
Fraud Arrests,03-25,$0
Fraud Arrests,04-25,$0
Fraud Arrests,05-25,$0
Fraud Arrests,06-25,$0
Fraud Arrests,07-25,$0
Fraud Arrests,08-25,$0
Fraud Arrests,09-25,$0
Fraud Arrests,10-25,$0
Fraud Arrests,11-25,$0
Fraud Arrests,12-25,$0
Fraud Arrests,01-26,$0
Generated Complaints,01-25,$1
Generated Complaints,02-25,$0
Generated Complaints,03-25,$3
Generated Complaints,04-25,$17
Generated Complaints,05-25,$5
Generated Complaints,06-25,$0
Generated Complaints,07-25,$0
Generated Complaints,08-25,$0
Generated Complaints,09-25,$0
Generated Complaints,10-25,$0
Generated Complaints,11-25,$0
Generated Complaints,12-25,$0
Generated Complaints,01-26,$2
High Valued Item Seized,01-25,$0
High Valued Item Seized,02-25,$0
High Valued Item Seized,03-25,$0
High Valued Item Seized,04-25,$0
High Valued Item Seized,05-25,$0
High Valued Item Seized,06-25,$0
High Valued Item Seized,07-25,$0
High Valued Item Seized,08-25,$0
High Valued Item Seized,09-25,$0
High Valued Item Seized,10-25,$0
High Valued Item Seized,11-25,$0
High Valued Item Seized,12-25,$0
High Valued Item Seized,01-26,$1
Motor Vehicle Stops,01-25,$16
Motor Vehicle Stops,02-25,$6
Motor Vehicle Stops,03-25,$14
Motor Vehicle Stops,04-25,$64
Motor Vehicle Stops,05-25,$29
Motor Vehicle Stops,06-25,$38
Motor Vehicle Stops,07-25,$0
Motor Vehicle Stops,08-25,$0
Motor Vehicle Stops,09-25,$0
Motor Vehicle Stops,10-25,$0
Motor Vehicle Stops,11-25,$0
Motor Vehicle Stops,12-25,$0
Motor Vehicle Stops,01-26,$30
Motor Vehicle Theft,01-25,$0
Motor Vehicle Theft,02-25,$0
Motor Vehicle Theft,03-25,$0
Motor Vehicle Theft,04-25,$1
Motor Vehicle Theft,05-25,$0
Motor Vehicle Theft,06-25,$0
Motor Vehicle Theft,07-25,$0
Motor Vehicle Theft,08-25,$0
Motor Vehicle Theft,09-25,$0
Motor Vehicle Theft,10-25,$0
Motor Vehicle Theft,11-25,$0
Motor Vehicle Theft,12-25,$0
Motor Vehicle Theft,01-26,$1
Post-Investigation Arrests,01-25,$0
Post-Investigation Arrests,02-25,$0
Post-Investigation Arrests,03-25,$0
Post-Investigation Arrests,04-25,$0
Post-Investigation Arrests,05-25,$0
Post-Investigation Arrests,06-25,$1
Post-Investigation Arrests,07-25,$0
Post-Investigation Arrests,08-25,$0
Post-Investigation Arrests,09-25,$0
Post-Investigation Arrests,10-25,$0
Post-Investigation Arrests,11-25,$0
Post-Investigation Arrests,12-25,$0
Post-Investigation Arrests,01-26,$0
Robbery Arrests,01-25,$0
Robbery Arrests,02-25,$0
Robbery Arrests,03-25,$0
Robbery Arrests,04-25,$0
Robbery Arrests,05-25,$2
Robbery Arrests,06-25,$0
Robbery Arrests,07-25,$0
Robbery Arrests,08-25,$0
Robbery Arrests,09-25,$0
Robbery Arrests,10-25,$0
Robbery Arrests,11-25,$0
Robbery Arrests,12-25,$0
Robbery Arrests,01-26,$0
Search Warrants Executed,01-25,$2
Search Warrants Executed,02-25,$0
Search Warrants Executed,03-25,$7
Search Warrants Executed,04-25,$2
Search Warrants Executed,05-25,$1
Search Warrants Executed,06-25,$0
Search Warrants Executed,07-25,$0
Search Warrants Executed,08-25,$0
Search Warrants Executed,09-25,$0
Search Warrants Executed,10-25,$0
Search Warrants Executed,11-25,$0
Search Warrants Executed,12-25,$0
Search Warrants Executed,01-26,$0
Subpoenas Generated,01-25,$5
Subpoenas Generated,02-25,$5
Subpoenas Generated,03-25,$2
Subpoenas Generated,04-25,$4
Subpoenas Generated,05-25,$4
Subpoenas Generated,06-25,$3
Subpoenas Generated,07-25,$0
Subpoenas Generated,08-25,$0
Subpoenas Generated,09-25,$0
Subpoenas Generated,10-25,$0
Subpoenas Generated,11-25,$0
Subpoenas Generated,12-25,$0
Subpoenas Generated,01-26,$10
Surveillance Reports,01-25,$7
Surveillance Reports,02-25,$0
Surveillance Reports,03-25,$4
Surveillance Reports,04-25,$0
Surveillance Reports,05-25,$0
Surveillance Reports,06-25,$0
Surveillance Reports,07-25,$0
Surveillance Reports,08-25,$0
Surveillance Reports,09-25,$0
Surveillance Reports,10-25,$0
Surveillance Reports,11-25,$0
Surveillance Reports,12-25,$0
Surveillance Reports,01-26,$1
Theft,01-25,$0
Theft,02-25,$0
Theft,03-25,$0
Theft,04-25,$0
Theft,05-25,$0
Theft,06-25,$0
Theft,07-25,$0
Theft,08-25,$0
Theft,09-25,$0
Theft,10-25,$0
Theft,11-25,$0
Theft,12-25,$0
Theft,01-26,$0
Warrant Arrests,01-25,$3
Warrant Arrests,02-25,$6
Warrant Arrests,03-25,$8
Warrant Arrests,04-25,$9
Warrant Arrests,05-25,$4
Warrant Arrests,06-25,$6
Warrant Arrests,07-25,$0
Warrant Arrests,08-25,$0
Warrant Arrests,09-25,$0
Warrant Arrests,10-25,$0
Warrant Arrests,11-25,$0
Warrant Arrests,12-25,$0
Warrant Arrests,01-26,$5
Weapons Recovered,01-25,$0
Weapons Recovered,02-25,$0
Weapons Recovered,03-25,$0
Weapons Recovered,04-25,$1
Weapons Recovered,05-25,$0
Weapons Recovered,06-25,$1
Weapons Recovered,07-25,$0
Weapons Recovered,08-25,$0
Weapons Recovered,09-25,$0
Weapons Recovered,10-25,$0
Weapons Recovered,11-25,$0
Weapons Recovered,12-25,$0
Weapons Recovered,01-26,$0
